Temps: 373s | Batterie: 0.60J | Paquets en attente: 5
Temps: 374s | Batterie: 0.60J | Paquets en attente: 5
Temps: 375s | Batterie: 0.60J | Paquets en attente: 5
Temps: 376s | Batterie: 0.60J | Paquets en attente: 5
Temps: 377s | Batterie: 0.60J | Paquets en attente: 5
Temps: 378s | Batterie: 0.60J | Paquets en attente: 5
Temps: 379s | Batterie: 0.60J | Paquets en attente: 5
Temps: 380s | Batterie: 0.60J | Paquets en attente: 5
Temps: 381s | Batterie: 0.60J | Paquets en attente: 5
Temps: 382s | Batterie: 0.60J | Paquets en attente: 5
Temps: 383s | Batterie: 0.60J | Paquets en attente: 5
Temps: 384s | Batterie: 0.60J | Paquets en attente: 5
Temps: 385s | Batterie: 0.60J | Paquets en attente: 5
Temps: 386s | Batterie: 0.60J | Paquets en attente: 5
Temps: 387s | Batterie: 0.60J | Paquets en attente: 5
Temps: 388s | Batterie: 0.60J | Paquets en attente: 5
Temps: 389s | Batterie: 0.60J | Paquets en attente: 5
Temps: 390s | Batterie: 0.60J | Paquets en attente: 5
Temps: 391s | Batterie: 0.60J | Paquets en attente: 5
Temps: 392s | Batterie: 0.60J | Paquets en attente: 5
Temps: 393s | Batterie: 0.60J | Paquets en attente: 5
Temps: 394s | Batterie: 0.60J | Paquets en attente: 5
Temps: 395s | Batterie: 0.60J | Paquets en attente: 5
Temps: 396s | Batterie: 0.60J | Paquets en attente: 5
Temps: 397s | Batterie: 0.60J | Paquets en attente: 5
Temps: 398s | Batterie: 0.60J | Paquets en attente: 5
Temps: 399s | Batterie: 0.60J | Paquets en attente: 5
Temps: 400s | Batterie: 0.60J | Paquets en attente: 5
Temps: 401s | Batterie: 0.60J | Paquets en attente: 5
Temps: 402s | Batterie: 0.60J | Paquets en attente: 5
Temps: 403s | Batterie: 0.60J | Paquets en attente: 5
Temps: 404s | Batterie: 0.60J | Paquets en attente: 5
Temps: 405s | Batterie: 0.60J | Paquets en attente: 5
Temps: 406s | Batterie: 0.60J | Paquets en attente: 5
Temps: 407s | Batterie: 0.60J | Paquets en attente: 5
Temps: 408s | Batterie: 0.60J | Paquets en attente: 5
Temps: 409s | Batterie: 0.60J | Paquets en attente: 5
Temps: 410s | Batterie: 0.60J | Paquets en attente: 5
Temps: 411s | Batterie: 0.60J | Paquets en attente: 5
Temps: 412s | Batterie: 0.60J | Paquets en attente: 5
Temps: 413s | Batterie: 0.60J | Paquets en attente: 5
Temps: 414s | Batterie: 0.60J | Paquets en attente: 5
Temps: 415s | Batterie: 0.60J | Paquets en attente: 5
Temps: 416s | Batterie: 0.60J | Paquets en attente: 5
Temps: 417s | Batterie: 0.60J | Paquets en attente: 5
Temps: 418s | Batterie: 0.60J | Paquets en attente: 5
Temps: 419s | Batterie: 0.60J | Paquets en attente: 5
Temps: 420s | Batterie: 0.60J | Paquets en attente: 5
Temps: 421s | Batterie: 0.60J | Paquets en attente: 5
Temps: 422s | Batterie: 0.60J | Paquets en attente: 5
Temps: 423s | Batterie: 0.60J | Paquets en attente: 5
Temps: 424s | Batterie: 0.60J | Paquets en attente: 5
Temps: 425s | Batterie: 0.60J | Paquets en attente: 5
